,City,Cloudiness(%),Country,Date,Humidity(%),Lat,Lng,Temperature(F),Wind_speed(mph)
1,goderich,48.0,CA,2019-03-06,83.0,43.74,-81.71,16.0,5.01
2,sobolevo,20.0,RU,2019-03-06,74.0,54.43,31.9,9.8,8.99
3,taft,0.0,PH,2019-03-06,92.0,11.9,125.42,78.79,10.22
4,hobart,40.0,AU,2019-03-06,50.0,-42.88,147.33,57.99,12.75
5,hamilton,20.0,BM,2019-03-06,63.0,32.3,-64.78,63.0,26.4
6,georgetown,20.0,GY,2019-03-06,78.0,6.8,-58.16,80.6,13.87
7,namtsy,40.0,RU,2019-03-06,84.0,62.72,129.66,6.8,4.47
8,salinas,40.0,US,2019-03-06,62.0,36.67,-121.66,59.0,11.41
9,qaanaaq,64.0,GL,2019-03-06,80.0,77.48,-69.36,-2.26,3.4
10,port elizabeth,20.0,US,2019-03-06,38.0,39.31,-74.98,28.0,10.29
11,severo-kurilsk,48.0,RU,2019-03-06,100.0,50.68,156.12,24.43,11.23
12,longyearbyen,20.0,NO,2019-03-06,60.0,78.22,15.63,5.0,14.99
13,sao filipe,0.0,CV,2019-03-06,95.0,14.9,-24.5,70.96,18.28
14,novoanninskiy,8.0,RU,2019-03-06,79.0,50.53,42.67,28.99,1.01
15,albany,20.0,US,2019-03-06,48.0,42.65,-73.75,18.0,13.87
16,saint george,20.0,GR,2019-03-06,80.0,39.45,22.34,41.0,0.38
17,rikitea,88.0,PF,2019-03-06,98.0,-23.12,-134.97,80.72,17.72
18,mataura,92.0,NZ,2019-03-06,43.0,-46.19,168.86,73.88,22.86
19,hilo,90.0,US,2019-03-06,73.0,19.71,-155.08,75.0,6.93
20,beruwala,100.0,LK,2019-03-06,95.0,6.48,79.98,82.79,6.2
21,punta arenas,20.0,CL,2019-03-06,52.0,-53.16,-70.91,46.4,12.75
22,arlit,0.0,NE,2019-03-06,38.0,18.74,7.39,63.71,8.66
23,maltahohe,8.0,NA,2019-03-06,40.0,-24.83,16.98,67.76,8.77
24,bluff,0.0,AU,2019-03-06,65.0,-23.58,149.07,82.93,7.2
25,lebu,0.0,ET,2019-03-06,85.0,8.96,38.73,42.74,2.62
26,maningrida,32.0,AU,2019-03-06,99.0,-12.05,134.23,82.61,1.61
